student_id,gender,year,platform_preference,daily_screen_time_hrs,study_hours,sleep_hours,attendance_pct,assignment_completion_pct,exam_score,cgpa,screen_time_group,at_risk
S00034,Other,3rd Year,Instagram,3.17,0.0,8.01,78.9,55.7,63.2,8.01,2-4h,1
S00035,Female,3rd Year,Instagram,7.31,1.46,8.11,68.6,63.6,55.1,7.92,6-8h,1
S00036,Female,2nd Year,Instagram,2.81,4.92,10.0,88.9,100.0,83.8,9.39,2-4h,0
S00037,Male,2nd Year,Snapchat,5.96,3.69,7.44,93.1,70.9,74.9,8.81,4-6h,0
S00038,Female,3rd Year,YouTube,1.19,3.44,6.99,73.2,78.7,73.1,8.78,<2h,0
S00039,Female,3rd Year,TikTok,2.58,3.49,7.41,96.7,82.1,85.5,9.51,2-4h,0
S00040,Male,1st Year,Snapchat,5.93,1.89,4.64,92.7,65.3,62.9,8.04,4-6h,1
S00041,Male,3rd Year,TikTok,7.12,3.01,5.85,92.6,52.6,63.5,8.86,6-8h,0
S00042,Female,4th Year,YouTube,5.88,4.08,6.41,96.7,80.7,76.1,10.0,4-6h,0
S00043,Female,4th Year,YouTube,5.25,0.62,6.36,100.0,46.4,69.2,8.1,4-6h,1
S00044,Male,1st Year,YouTube,4.84,3.57,7.3,82.2,68.7,68.1,8.96,4-6h,0
S00045,Male,2nd Year,TikTok,2.25,4.98,6.42,90.0,90.6,86.5,8.61,2-4h,0
S00046,Female,3rd Year,YouTube,3.92,2.66,8.69,82.7,68.1,71.1,8.96,2-4h,0
S00047,Female,1st Year,Twitter/X,4.49,4.23,7.15,86.2,69.1,78.7,9.51,4-6h,0
S00048,Female,2nd Year,Twitter/X,7.83,6.8,6.64,97.5,83.4,79.8,9.74,6-8h,0
S00049,Female,1st Year,Instagram,6.26,2.71,6.46,70.6,60.1,60.7,8.62,6-8h,0
S00050,Male,2nd Year,Instagram,1.62,4.29,7.78,81.0,70.2,88.2,9.9,<2h,0
S00051,Female,3rd Year,TikTok,6.21,1.76,7.97,97.9,66.3,60.7,9.77,6-8h,0
S00052,Male,1st Year,YouTube,4.65,3.42,6.0,96.2,70.4,65.5,9.83,4-6h,0
S00053,Female,3rd Year,Instagram,4.01,3.96,6.37,83.2,64.7,66.0,8.97,4-6h,0
S00054,Female,1st Year,Twitter/X,6.85,3.05,6.4,91.9,71.9,59.7,8.23,6-8h,1
S00055,Male,2nd Year,Instagram,7.77,1.06,4.91,85.7,62.9,55.4,8.03,6-8h,1
S00056,Male,1st Year,WhatsApp,7.55,2.94,5.63,97.5,62.4,56.9,8.38,6-8h,0
S00057,Female,4th Year,TikTok,3.65,5.53,6.66,88.0,77.7,81.6,9.73,2-4h,0
S00058,Male,4th Year,Snapchat,4.82,3.8,8.24,96.1,76.5,81.8,8.81,4-6h,0
S00059,Male,1st Year,Instagram,6.23,4.31,7.23,100.0,81.2,79.8,9.18,6-8h,0
S00060,Female,4th Year,Instagram,7.65,2.26,6.93,88.4,60.7,59.0,8.89,6-8h,0
S00061,Male,3rd Year,TikTok,4.45,4.31,8.26,86.8,80.2,79.6,9.27,4-6h,0
S00062,Female,4th Year,Instagram,5.09,3.49,6.88,92.7,75.8,73.8,8.72,4-6h,0
S00063,Male,4th Year,YouTube,3.07,2.01,7.87,84.3,77.6,68.2,9.5,2-4h,0
S00064,Female,3rd Year,YouTube,2.87,3.95,7.26,100.0,77.0,81.2,8.77,2-4h,0
S00065,Male,3rd Year,Instagram,7.29,1.19,7.08,84.7,53.2,69.7,8.24,6-8h,1
S00066,Male,2nd Year,Instagram,8.48,1.51,5.79,78.7,55.6,56.5,8.16,8h+,1
S00067,Female,3rd Year,Snapchat,5.34,3.31,3.85,76.8,73.1,77.4,8.74,4-6h,0
S00068,Female,1st Year,Instagram,7.71,3.05,6.49,93.3,79.8,62.6,8.79,6-8h,0
S00069,Male,4th Year,Instagram,6.3,1.07,8.73,92.7,58.0,62.1,8.86,6-8h,0
S00070,Male,2nd Year,TikTok,4.08,4.84,8.42,81.7,83.6,72.3,9.39,4-6h,0
S00071,Female,3rd Year,WhatsApp,6.3,3.71,8.14,89.8,67.2,67.9,8.93,6-8h,0
S00072,Female,4th Year,YouTube,8.88,1.33,8.1,65.9,58.9,61.1,7.97,8h+,1
S00073,Other,1st Year,Instagram,5.42,0.71,7.13,86.9,74.5,55.5,8.27,4-6h,1
S00074,Other,1st Year,TikTok,8.94,2.16,6.74,85.4,66.5,68.6,8.65,8h+,0
S00075,Female,2nd Year,Twitter/X,0.5,3.23,6.95,100.0,68.9,76.0,9.37,<2h,0
S00076,Male,1st Year,Snapchat,7.31,2.84,6.32,75.1,60.8,53.4,8.88,6-8h,0
S00077,Female,4th Year,TikTok,5.69,2.42,7.77,72.0,77.1,60.2,8.67,4-6h,0
S00078,Female,3rd Year,YouTube,4.84,0.11,8.66,76.8,62.7,56.0,8.26,4-6h,1
S00079,Male,1st Year,TikTok,5.7,2.38,6.79,71.4,57.7,66.0,8.85,4-6h,0
S00080,Male,3rd Year,Instagram,1.13,3.33,7.07,100.0,71.4,85.5,9.29,<2h,0
S00081,Male,4th Year,TikTok,5.02,4.04,7.07,100.0,78.7,75.7,9.53,4-6h,0
S00082,Male,4th Year,Snapchat,6.29,1.81,7.66,87.3,72.1,62.0,8.74,6-8h,0
S00083,Male,3rd Year,WhatsApp,8.75,4.93,4.64,93.3,69.2,67.2,8.66,8h+,0
S00084,Female,4th Year,Instagram,4.36,0.34,4.19,87.7,83.0,49.4,8.63,4-6h,0
S00085,Female,2nd Year,Instagram,3.72,5.29,6.55,86.2,85.8,76.2,9.7,2-4h,0
S00086,Female,1st Year,TikTok,4.4,2.86,5.58,83.0,68.7,73.0,9.35,4-6h,0
S00087,Male,2nd Year,TikTok,7.51,3.93,6.04,79.5,61.7,54.1,9.11,6-8h,0
S00088,Male,2nd Year,Snapchat,6.22,2.99,6.7,68.7,60.0,70.9,8.83,6-8h,0
S00089,Female,2nd Year,Instagram,4.33,4.92,6.59,89.0,79.6,77.5,8.93,4-6h,0
S00090,Male,3rd Year,Instagram,6.63,2.22,8.72,83.2,60.8,59.6,9.67,6-8h,0
S00091,Female,3rd Year,TikTok,5.71,1.31,7.39,92.2,77.0,67.2,8.08,4-6h,1
S00092,Other,4th Year,YouTube,7.63,4.75,7.07,83.4,82.2,80.1,9.38,6-8h,0
S00093,Male,3rd Year,Twitter/X,3.96,3.11,8.04,85.2,77.3,79.9,9.32,2-4h,0
S00094,Male,4th Year,YouTube,4.78,3.46,5.63,77.2,62.4,70.1,8.46,4-6h,0
S00095,Male,3rd Year,Snapchat,4.64,5.01,8.48,86.8,71.3,88.0,9.39,4-6h,0
S00096,Female,4th Year,TikTok,2.28,2.03,7.38,96.2,82.0,63.7,9.16,2-4h,0
S00097,Female,1st Year,Snapchat,6.15,3.78,7.77,72.8,65.8,64.6,9.4,6-8h,0
S00098,Female,4th Year,YouTube,6.07,2.01,5.52,85.2,74.1,54.8,8.32,6-8h,1
S00099,Male,1st Year,Snapchat,5.51,2.8,4.98,87.3,72.3,72.1,8.68,4-6h,0
S00100,Other,4th Year,Instagram,4.98,3.2,8.14,78.4,71.0,67.4,8.04,4-6h,1
S00101,Male,3rd Year,TikTok,2.39,1.31,7.96,82.9,64.0,72.5,9.64,2-4h,0
S00102,Male,3rd Year,Instagram,4.57,2.0,5.97,88.4,67.0,68.0,8.37,4-6h,0
S00103,Female,1st Year,YouTube,4.75,5.16,5.98,74.6,78.5,69.4,9.36,4-6h,0
S00104,Female,2nd Year,YouTube,3.73,4.65,8.73,90.6,85.5,79.7,9.5,2-4h,0
S00105,Male,2nd Year,Instagram,5.15,2.97,5.51,76.5,62.6,71.5,8.72,4-6h,0
S00106,Male,4th Year,WhatsApp,6.39,3.2,9.0,94.6,66.0,68.4,9.39,6-8h,0
S00107,Male,3rd Year,Instagram,9.65,1.81,5.21,100.0,58.4,56.9,8.95,8h+,0
S00108,Male,2nd Year,Snapchat,5.88,4.97,7.77,75.9,79.6,69.8,9.26,4-6h,0
S00109,Male,3rd Year,WhatsApp,6.07,2.6,6.49,89.7,59.6,63.8,9.08,6-8h,0
S00110,Other,3rd Year,Instagram,5.34,3.38,7.81,77.9,60.0,68.8,9.08,4-6h,0
S00111,Female,3rd Year,TikTok,1.28,5.48,6.93,100.0,89.5,87.3,10.0,<2h,0
S00112,Female,4th Year,Instagram,5.44,1.84,6.8,72.4,53.6,53.1,8.37,4-6h,0
S00113,Female,1st Year,Instagram,5.63,5.31,7.03,89.6,86.1,81.3,9.77,4-6h,0
S00114,Female,4th Year,YouTube,10.92,0.0,4.88,69.8,49.1,30.8,8.0,8h+,1
S00115,Female,2nd Year,WhatsApp,5.08,5.52,8.03,83.4,65.0,76.4,9.89,4-6h,0
S00116,Female,1st Year,Instagram,6.16,2.32,6.23,73.9,62.0,53.5,8.28,6-8h,1
S00117,Male,2nd Year,TikTok,5.42,2.65,6.71,93.3,71.2,68.2,8.83,4-6h,0
S00118,Female,1st Year,TikTok,2.93,0.63,6.09,79.7,62.3,65.2,8.74,2-4h,0
S00119,Female,1st Year,Twitter/X,8.01,1.87,3.29,87.5,61.3,62.1,7.73,8h+,1
S00120,Female,4th Year,Instagram,7.15,1.14,6.5,79.6,66.5,49.6,8.93,6-8h,0
S00121,Other,3rd Year,TikTok,7.24,1.78,9.88,81.8,60.7,75.3,8.57,6-8h,0
S00122,Male,3rd Year,TikTok,3.5,3.15,8.32,88.9,65.7,69.8,9.35,2-4h,0
S00123,Female,1st Year,TikTok,8.59,3.88,6.51,73.7,63.8,68.2,8.33,8h+,1
S00124,Male,4th Year,WhatsApp,2.42,3.87,7.12,90.8,88.6,75.7,8.93,2-4h,0
S00125,Female,2nd Year,Snapchat,6.79,3.23,6.84,98.8,80.9,65.1,8.69,6-8h,0
S00126,Male,2nd Year,Instagram,10.32,0.49,6.99,71.4,36.7,38.5,7.86,8h+,1
S00127,Male,3rd Year,YouTube,3.32,2.07,5.79,99.3,79.0,70.4,9.33,2-4h,0
S00128,Male,3rd Year,YouTube,4.25,5.92,8.64,100.0,82.1,94.1,9.87,4-6h,0
S00129,Female,2nd Year,YouTube,5.72,1.86,7.9,76.6,72.7,65.3,8.79,4-6h,0
S00130,Male,2nd Year,YouTube,4.39,5.68,8.1,71.8,74.7,74.3,9.3,4-6h,0
S00131,Female,4th Year,YouTube,2.09,3.25,8.08,92.1,61.8,73.8,9.64,2-4h,0
S00132,Male,2nd Year,YouTube,5.65,2.98,7.0,79.3,73.4,60.4,9.43,4-6h,0
S00133,Female,4th Year,WhatsApp,3.16,5.03,8.23,100.0,71.9,87.5,10.0,2-4h,0
S00134,Female,3rd Year,Instagram,6.54,4.72,7.61,84.1,61.3,73.0,9.43,6-8h,0
S00135,Male,2nd Year,WhatsApp,3.48,3.2,6.84,79.4,62.8,65.3,9.22,2-4h,0
S00136,Male,3rd Year,YouTube,8.91,1.8,5.74,69.4,64.2,50.9,7.53,8h+,1
S00137,Female,1st Year,TikTok,3.78,3.23,7.39,98.0,74.0,90.5,8.84,2-4h,0
S00138,Female,1st Year,Snapchat,4.79,3.63,9.12,80.1,78.5,71.0,9.33,4-6h,0
S00139,Female,1st Year,YouTube,7.29,4.01,5.12,83.3,74.3,63.1,8.8,6-8h,0
S00140,Male,2nd Year,YouTube,2.79,3.49,5.5,97.8,72.1,80.6,9.52,2-4h,0
S00141,Female,3rd Year,YouTube,6.0,3.84,7.14,79.6,70.2,66.0,9.64,4-6h,0
S00142,Other,2nd Year,YouTube,8.38,4.94,6.63,81.1,65.7,73.3,9.2,8h+,0
S00143,Male,3rd Year,WhatsApp,1.96,4.21,7.76,89.1,77.4,78.6,10.0,<2h,0
S00144,Male,4th Year,Snapchat,5.91,3.39,7.26,91.3,61.8,82.2,9.04,4-6h,0
S00145,Male,2nd Year,Instagram,6.07,0.62,6.62,90.2,64.1,59.2,8.11,6-8h,1
S00146,Female,1st Year,Instagram,7.22,0.0,8.68,80.7,65.6,48.6,8.18,6-8h,1
S00147,Female,4th Year,YouTube,2.78,4.07,5.33,88.9,70.7,73.4,9.03,2-4h,0
S00148,Male,3rd Year,Instagram,2.59,3.38,6.36,84.8,85.7,71.4,9.86,2-4h,0
S00149,Male,2nd Year,TikTok,6.65,2.02,6.69,68.8,65.0,64.2,8.72,6-8h,0
S00150,Male,3rd Year,Instagram,6.15,3.25,4.77,86.8,70.6,57.4,8.98,6-8h,0
S00151,Male,3rd Year,TikTok,6.05,2.81,6.69,100.0,53.9,66.1,9.41,6-8h,0
S00152,Male,2nd Year,Instagram,6.26,4.55,9.05,75.2,57.9,70.2,8.28,6-8h,1
S00153,Other,2nd Year,YouTube,4.0,3.4,7.25,79.1,74.1,71.3,9.33,2-4h,0
S00154,Male,3rd Year,TikTok,6.01,1.79,7.22,75.7,70.9,57.4,8.0,6-8h,1
S00155,Male,3rd Year,YouTube,6.14,4.37,5.27,91.5,66.7,63.3,9.07,6-8h,0
S00156,Female,4th Year,WhatsApp,3.93,2.96,6.43,91.4,85.2,69.6,8.99,2-4h,0
S00157,Female,1st Year,Twitter/X,9.6,3.05,5.9,78.5,67.7,55.8,8.63,8h+,0
S00158,Female,3rd Year,YouTube,6.54,2.1,6.43,74.6,57.2,54.1,8.61,6-8h,0
S00159,Male,1st Year,Instagram,2.88,2.5,9.06,89.1,72.6,79.4,9.77,2-4h,0
S00160,Male,4th Year,Twitter/X,6.94,2.87,7.51,67.6,85.9,65.6,8.34,6-8h,1
S00161,Female,1st Year,Twitter/X,3.36,3.41,5.88,89.0,64.2,73.2,9.47,2-4h,0
S00162,Female,1st Year,Snapchat,7.23,3.41,7.06,91.6,71.4,69.8,8.92,6-8h,0
S00163,Male,4th Year,Instagram,8.05,2.14,7.27,69.4,59.3,41.8,7.66,8h+,1
S00164,Female,3rd Year,WhatsApp,3.69,0.57,8.75,71.8,70.7,56.8,8.26,2-4h,1
S00165,Female,1st Year,Instagram,7.62,1.97,8.74,98.3,72.3,71.7,8.63,6-8h,0
S00166,Male,3rd Year,Snapchat,6.41,4.03,5.54,77.8,67.5,63.9,9.28,6-8h,0
S00167,Female,3rd Year,Twitter/X,7.31,2.23,5.67,94.2,72.5,57.3,8.79,6-8h,0
S00168,Female,2nd Year,Instagram,9.67,1.88,4.74,78.5,76.0,62.9,7.59,8h+,1
S00169,Male,3rd Year,Twitter/X,4.96,4.58,6.78,84.0,75.3,86.5,9.17,4-6h,0
S00170,Female,3rd Year,YouTube,3.84,2.23,7.85,91.4,76.1,73.9,9.87,2-4h,0
S00171,Female,1st Year,WhatsApp,3.54,1.04,8.58,78.5,62.0,70.3,8.83,2-4h,0
S00172,Female,3rd Year,YouTube,3.71,3.08,7.17,88.5,72.7,59.9,9.03,2-4h,0
S00173,Male,3rd Year,WhatsApp,5.33,2.3,6.61,81.4,65.9,58.8,8.96,4-6h,0
S00174,Male,2nd Year,Instagram,6.25,1.42,7.08,70.9,69.4,52.4,8.69,6-8h,0
S00175,Female,2nd Year,TikTok,6.11,2.63,5.82,87.6,76.5,62.7,8.53,6-8h,0
S00176,Male,1st Year,TikTok,7.32,3.41,9.44,80.2,66.2,65.5,9.03,6-8h,0
S00177,Male,1st Year,YouTube,5.53,2.98,4.91,83.4,81.3,48.9,8.66,4-6h,0
S00178,Male,2nd Year,Instagram,8.7,2.88,6.76,69.1,75.2,58.3,8.64,8h+,0
S00179,Male,2nd Year,TikTok,4.92,5.82,9.72,100.0,85.4,93.7,9.81,4-6h,0
S00180,Other,4th Year,Instagram,11.48,1.41,6.11,86.6,49.4,57.6,8.12,8h+,1
S00181,Male,3rd Year,TikTok,6.88,3.17,6.55,93.0,62.2,63.0,8.51,6-8h,0
S00182,Female,1st Year,Instagram,3.61,2.58,6.82,84.2,64.7,64.1,8.67,2-4h,0
S00183,Male,1st Year,WhatsApp,3.14,2.15,7.12,70.5,78.4,48.7,9.25,2-4h,0
S00184,Female,3rd Year,Instagram,6.56,1.93,8.63,100.0,54.3,66.2,8.78,6-8h,0
S00185,Male,3rd Year,Instagram,5.01,2.37,4.2,85.0,73.5,67.3,8.8,4-6h,0
S00186,Female,1st Year,Instagram,7.07,3.26,8.76,75.6,58.4,62.2,8.64,6-8h,0
S00187,Female,2nd Year,YouTube,6.54,6.34,4.99,87.9,83.8,91.7,9.7,6-8h,0
S00188,Male,2nd Year,Instagram,5.34,1.95,6.68,96.9,66.4,65.2,8.58,4-6h,0
S00189,Female,3rd Year,YouTube,3.64,2.71,6.72,87.0,82.3,71.5,9.01,2-4h,0
S00190,Male,1st Year,Twitter/X,2.17,3.51,8.27,100.0,85.7,75.2,9.88,2-4h,0
S00191,Female,3rd Year,TikTok,4.52,3.77,5.07,97.0,84.7,75.9,9.62,4-6h,0
S00192,Other,2nd Year,TikTok,7.38,3.06,7.32,72.0,77.6,49.2,8.36,6-8h,0
S00193,Female,4th Year,Instagram,5.97,4.84,9.56,77.7,74.9,81.2,10.0,4-6h,0
S00194,Female,4th Year,TikTok,2.76,0.0,5.64,97.9,55.8,66.1,8.83,2-4h,0
S00195,Male,2nd Year,Instagram,5.88,0.0,7.19,57.4,51.0,53.9,7.63,4-6h,1
S00196,Male,3rd Year,Snapchat,6.35,2.1,6.01,82.5,48.2,53.9,8.72,6-8h,0
S00197,Male,4th Year,Instagram,3.56,5.0,7.85,73.0,69.9,79.5,9.23,2-4h,0
S00198,Female,2nd Year,YouTube,5.84,0.59,6.97,79.8,61.8,58.3,8.57,4-6h,0
S00199,Female,1st Year,YouTube,5.63,0.0,6.15,81.9,55.4,54.7,8.27,4-6h,1
S00200,Male,3rd Year,Twitter/X,2.99,4.31,8.01,84.4,76.1,75.1,9.48,2-4h,0
S00201,Female,3rd Year,Instagram,6.29,3.22,9.23,78.5,72.3,54.5,8.53,6-8h,0
S00202,Male,4th Year,TikTok,6.73,1.14,6.57,72.5,58.9,54.9,8.66,6-8h,0
S00203,Male,3rd Year,Instagram,7.88,1.09,7.58,100.0,50.1,59.1,8.0,6-8h,1
S00204,Female,4th Year,TikTok,7.82,1.13,4.97,100.0,58.9,53.0,7.89,6-8h,1
S00205,Male,4th Year,Twitter/X,2.47,3.71,6.21,77.0,69.5,78.3,9.38,2-4h,0
S00206,Female,2nd Year,YouTube,3.44,2.43,7.92,100.0,68.9,75.2,9.87,2-4h,0
S00207,Male,4th Year,YouTube,6.63,3.54,8.76,79.6,79.4,61.3,8.79,6-8h,0
S00208,Female,1st Year,WhatsApp,6.63,0.0,7.29,84.9,55.9,41.1,8.56,6-8h,0
S00209,Male,3rd Year,TikTok,6.63,1.51,6.42,83.0,76.8,50.8,8.87,6-8h,0
S00210,Male,4th Year,YouTube,13.98,0.0,5.73,68.2,56.3,45.0,7.59,8h+,1
S00211,Female,3rd Year,TikTok,6.76,2.39,5.19,93.3,60.4,66.9,8.5,6-8h,0
S00212,Female,4th Year,TikTok,8.0,1.74,7.41,83.3,51.9,58.6,7.94,6-8h,1
S00213,Male,2nd Year,Instagram,7.6,3.82,7.83,77.7,67.4,65.5,7.89,6-8h,1
S00214,Male,1st Year,Snapchat,6.93,0.0,6.2,70.2,66.7,44.5,7.91,6-8h,1
S00215,Female,3rd Year,YouTube,4.81,3.19,6.49,76.9,67.0,74.1,9.39,4-6h,0
S00216,Male,2nd Year,Instagram,7.17,3.54,7.1,66.6,75.0,58.8,8.18,6-8h,1
S00217,Female,3rd Year,Snapchat,3.8,6.09,6.69,87.2,91.1,89.0,9.92,2-4h,0
S00218,Female,2nd Year,YouTube,4.98,2.37,6.99,73.7,62.0,60.7,8.37,4-6h,0
S00219,Male,1st Year,Instagram,4.43,3.68,9.89,83.6,67.7,88.8,9.3,4-6h,0
S00220,Male,4th Year,TikTok,5.68,0.26,6.65,98.5,66.3,63.3,8.77,4-6h,0
S00221,Female,2nd Year,Twitter/X,10.59,0.0,5.77,90.9,52.1,51.7,7.56,8h+,1
S00222,Male,3rd Year,Twitter/X,1.39,5.01,6.77,89.6,77.0,82.8,9.81,<2h,0
S00223,Female,3rd Year,WhatsApp,7.01,2.72,7.74,82.3,62.7,70.4,8.56,6-8h,0
S00224,Male,2nd Year,Twitter/X,1.95,5.41,7.3,100.0,82.1,89.0,10.0,<2h,0
S00225,Female,1st Year,Instagram,4.46,1.13,6.31,91.5,52.8,63.2,8.79,4-6h,0
S00226,Male,1st Year,YouTube,7.9,3.35,8.36,78.8,72.0,74.8,8.76,6-8h,0
S00227,Female,4th Year,Snapchat,5.64,5.78,8.82,70.6,73.3,72.4,9.95,4-6h,0
S00228,Male,4th Year,YouTube,3.13,4.06,6.58,91.8,54.3,80.1,9.67,2-4h,0
S00229,Male,3rd Year,TikTok,3.93,3.7,4.81,95.2,73.8,76.7,8.9,2-4h,0
S00230,Female,3rd Year,TikTok,7.0,2.74,8.09,76.9,59.7,66.2,8.61,6-8h,0
S00231,Male,4th Year,YouTube,3.89,0.93,6.35,89.8,79.3,59.7,8.7,2-4h,0
S00232,Male,4th Year,Twitter/X,5.98,4.95,7.96,80.8,69.4,88.5,9.24,4-6h,0
S00233,Male,4th Year,TikTok,5.6,2.07,4.42,83.0,57.3,51.4,9.56,4-6h,0
S00234,Male,2nd Year,YouTube,4.07,4.01,8.38,61.8,78.8,79.3,9.24,4-6h,0
S00235,Female,4th Year,WhatsApp,10.22,0.0,4.72,77.1,46.3,46.6,6.89,8h+,1
S00236,Female,2nd Year,YouTube,6.89,0.98,7.74,93.0,54.3,71.0,8.31,6-8h,1
S00237,Male,2nd Year,Instagram,1.04,5.95,7.69,84.0,90.1,81.4,9.16,<2h,0
S00238,Female,4th Year,TikTok,5.91,2.41,5.7,85.0,58.3,57.3,8.53,4-6h,0
S00239,Female,1st Year,Snapchat,4.04,5.44,6.69,79.2,67.4,88.6,8.62,4-6h,0
S00240,Female,1st Year,Snapchat,7.38,2.55,7.61,86.4,78.2,52.3,8.31,6-8h,1
S00241,Male,3rd Year,Snapchat,3.76,0.55,7.4,84.9,69.5,51.4,8.05,2-4h,1
S00242,Female,4th Year,TikTok,5.25,4.38,7.8,75.9,71.6,70.3,9.26,4-6h,0
S00243,Female,3rd Year,Instagram,6.61,1.92,9.4,97.0,63.8,69.3,8.81,6-8h,0
S00244,Female,4th Year,Twitter/X,7.4,3.71,4.68,92.0,71.8,75.5,8.91,6-8h,0
S00245,Male,3rd Year,Twitter/X,2.86,3.51,9.5,82.1,83.2,77.4,9.33,2-4h,0
S00246,Male,2nd Year,Instagram,4.76,0.82,7.25,90.9,57.8,58.1,8.09,4-6h,1
S00247,Female,4th Year,Instagram,4.46,3.43,5.99,91.6,75.2,74.4,9.3,4-6h,0
S00248,Male,1st Year,WhatsApp,4.06,6.55,5.49,93.1,78.3,89.9,10.0,4-6h,0
S00249,Female,4th Year,Twitter/X,9.38,3.04,6.17,63.4,60.7,55.3,8.41,8h+,0
S00250,Male,3rd Year,Twitter/X,6.39,2.75,8.06,94.0,68.0,68.3,8.74,6-8h,0
S00251,Female,3rd Year,Twitter/X,2.73,5.11,7.25,82.6,80.4,71.0,9.0,2-4h,0
S00252,Female,3rd Year,TikTok,7.52,2.95,8.66,79.0,71.2,58.9,8.31,6-8h,1
S00253,Female,3rd Year,TikTok,10.17,2.47,4.41,100.0,63.0,65.4,8.47,8h+,0
S00254,Female,3rd Year,TikTok,7.77,0.95,6.64,85.3,46.8,54.9,8.67,6-8h,0
S00255,Female,3rd Year,Instagram,2.16,3.95,5.87,85.1,67.1,75.4,9.48,2-4h,0
S00256,Male,1st Year,Snapchat,4.43,4.74,7.63,64.2,73.3,79.4,9.47,4-6h,0
S00257,Female,3rd Year,TikTok,8.29,1.24,7.73,95.6,73.4,52.0,8.68,8h+,0
S00258,Male,1st Year,TikTok,3.94,5.42,6.69,73.4,72.3,76.7,9.56,2-4h,0
S00259,Female,4th Year,TikTok,6.48,2.69,3.47,73.8,64.7,56.8,8.16,6-8h,1
S00260,Male,2nd Year,YouTube,7.2,1.36,7.0,79.6,56.8,53.0,8.46,6-8h,0
S00261,Female,1st Year,Instagram,3.46,4.86,7.87,100.0,73.9,86.9,9.3,2-4h,0
